memorialis_naam,naam,QID,Facebook_ID,social media followers,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar,911    1,naam alternatief,681   ,902   ,903   ,viaf id,Column 1,035   ,035    1,670   ,375   ,900   ,901   ,920   ,046   ,905   ,COR   ,911   ,912   ,910   ,85642 ,906   ,5001  ,904   ,000   ,678   ,8564  ,1101  ,5102  ,4101  ,908   ,599   ,856   ,998   ,4102  
"De Raedt, Rudi",Rudi De Raedt,Q3446654,,,,,,,1961,,faculteit Psychologie en Pedagogische Wetenscha,,$$aPsychologische en Pedagogische Wetenschappen,,,,000003980 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2001-02,$$aman,,,$$apersoon,$$f19610130$$gunknown$$s2001$$tunknown,,"$$aDe Raedt, Rudi$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s2011$$tunknown$$ihoogleraar$$0mem10:000006170,$$avakgroep Experimenteel-Klinische en Gezondheidspsychologie$$gPP05$$s2014$$tunknown$$ivoorzitter$$0mem10:000006182,$$avakgroep Experimenteel-Klinische en Gezondheidspsychologie$$gPP05$$0mem10:000006182,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/980/000003980-01.jpg,,,,,,,,,,,,,,
"De Reuck, Jacques",Jacques De Reuck,Q55232828,,,,,,,1942,,Universiteit Gent$$s2007$$iemeritus,,$$aMedische Basiswetenschappen,,,291867918,000003981 ,$$a(viaf)291867918,$$a,$$aEerste vermelding Studiegids 1981-82,$$aman,,,$$apersoon,$$f19420418$$gunknown$$s1981$$t2007,,,$$aUniversiteit Gent$$s2007$$iemeritus,$$aKliniek voor neurologie$$s1990$$t1992$$idirecteur-diensthoofd$$0mem10:000008641,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$0mem10:000006060,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/981/000003981-01.jpg,,,,,,,,,,,,,,
"De Rick, André",André De Rick,,,,,,,,1947,,Universiteit Gent$$s2007$$iemeritus,,$$aDiergeneeskunde,,,,000003983 ,$$a(biblio)801000267516,$$a(biblio)801000267516,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19470116$$gunknown$$s1992$$t2007,,,$$aUniversiteit Gent$$s2007$$iemeritus,$$avakgroep Geneeskunde en Klinische Biologie van de Kleine Huisdieren$$gDI09$$s2000$$t2006$$ivoorzitter$$0mem10:000006166,$$avakgroep Geneeskunde en Klinische Biologie van de Kleine Huisdieren$$gDI09$$0mem10:000006166,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/983/000003983-01.jpg,,,,,,,,,,,,,,
"De Ries, Jean",Jean De Ries,,,,,,,,,2001,Universiteit Gent$$s19870401$$iemeritus,"De Ries, Jean Marie P.","$$aEnergie, Elektrotechniek, Elektronica en Werktuigkunde",,,,000003986 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 1970-71,$$aman,,,$$apersoon,$$funknown$$g20011029$$s1969$$t19870401,,,$$aUniversiteit Gent$$s19870401$$iemeritus,,$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$0mem10:000006102,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/986/000003986-01.jpg,,,,,,,,,,,,,,
"De Rooster, Hilde",Hilde de Rooster,Q91561270,,,,,,,1969,,faculteit Diergeneeskunde$$gDI$$s2009$$tunknown,,$$aDiergeneeskunde,,,,000003989 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2009-10,$$avrouw,,,$$apersoon,$$f19690927$$gunknown$$s2009$$tunknown,,"$$aDe Rooster, Hilde$$0ZZZ",$$afaculteit Diergeneeskunde$$gDI$$s2009$$tunknown$$idocent$$0mem10:000006151,,$$avakgroep Geneeskunde en Klinische Biologie van de Kleine Huisdieren$$gDI09$$0mem10:000006166,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/989/000003989-01.jpg,,,,,,,,,,,,,,
"De Ruyver, Brice",Brice De Ruyver,Q42299520,,,,,,,1954,2017,faculteit Recht en Criminologie$$gRE$$s2002$$t2,,$$aCriminologie,,,33692557,000003991 ,$$a(viaf)33692557,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aOpbrakel$$bOost-Vlaanderen$$cBelgië,,$$apersoon,$$f19541023$$g20171019$$s1992$$t20171019,,"$$aDe Ruyver, Brice$$d1954-$$0(viaf)33692557$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2002$$t20171019$$igewoon hoogleraar$$0mem10:000006010,$$avakgroep Strafrecht en Criminologie$$gRE08$$s1998$$t2002$$ivoorzitter$$0mem10:000006032,$$avakgroep Strafrecht en Criminologie$$gRE08$$0mem10:000006032,$$uhttp://www.ugentmemorie.be/personen/de-ruyver-brice-1954-2017$$zUGentMemorie,,,,,"$$aProf. Dr. Brice De Ruyver werd geboren te Opbrakel op 23 oktober 1954. In 1978 behaalde hij het diploma van licentiaat in de Rechten en licentiaat in de Criminologie. De Universiteit Gent verleende hem op 11 september 1986 de titel van doctor in de Criminologie. Hij begon zijn loopbaan aan de Universiteit Gent op 1 oktober 1978 als assistent in het Seminarie voor Gerechtelijke en Sociale Psychologie. Per 1 oktober 1987 werd hij benoemd tot eerstaanwezend assistent en vervolgens per 1 oktober 1991 tot werkleider. Met ingang van 1 juni 1992 werd prof. Dr. Brice De Ruyver benoemd als hoofddocent aan de faculteit Rechtsgeleerdheid, later benoemd tot hoogleraar en gewoon hoogleraar aan de faculteit Recht en Criminologie. Tussen 1 oktober 2008 en 30 september 2014 maakte hij deel uit als lid van de Raad van Bestuur van de Universiteit Gent. Prof. Brice De Ruyver was promotor van tientallen veiligheids- en druggerelateerde wetenschappelijke onderzoeken en publiceerde ook talrijke artikelen en boekbijdragen over deze en andere materies. Jarenlang fungeerde hij in de Wetstraat in Brussel als adviseur veiligheid en binnenlandse zaken. Zo was hij één van de architecten van de politiehervorming. Prof. Dr. Brice De Ruyver is op 19 oktober 2017 thuis overleden ten gevolgde van een hartstilstand.",,,,,,,,,
"De Samblanx, Michel",Michel De Samblanx,Q15879354,,,,,,,1950,,faculteit Economie en Bedrijfskunde$$gEB$$s2002,,"$$aEconomie, Bedrijfseconomie en Management",,,,000003997 ,$$a(biblio)801001420196,$$a(biblio)801001420196,$$ahttps://nl.wikipedia.org/wiki/Michel_De_Samblanx,$$aman,,,$$apersoon,$$f19500302$$gunknown$$sunknown$$tunknown,,"$$aDe Samblanx, Michel$$0(viaf)68336588$$0ZZZ",$$afaculteit Economie en Bedrijfskunde$$gEB$$s2002$$t2005$$igastdocent$$0mem10:000006129,,"$$avakgroep Accountancy, Beheerscontrole en Fiscaliteit$$gEB05V$$0mem10:000006141",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/003/997/000003997-01.jpg,,,,,,,,,,,,,,
"De Schepper, Jean",Jean De Schepper,Q88939724,,,,,,,1958,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,,000004001 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19580209$$gunknown$$sunknown$$tunknown,,"$$aDe Schepper, Jean$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2007$$tunknown$$igastdocent$$0mem10:000006060,,$$avakgroep Pediatrie en Genetica$$gGE02$$0mem10:000006071,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/001/000004001-01.jpg,,,,,,,,,,,,,,
"De Schutter, Geert",Geert De Schutter,Q55233628,,,,,,,1967,,faculteit Ingenieurswetenschappen en Architectu,,$$aWetenschap en Technologie van Constructies en de Gebouwde Omgeving,,,285052688,000004005 ,$$a(viaf)285052688,$$a,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19670412$$gunknown$$s1999$$tunknown,,"$$aDe Schutter, Geert$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2010$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006102,,$$avakgroep Bouwkundige Constructies$$gEA14$$0mem10:000006122,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/005/000004005-01.jpg,,,,,,,,,,,,,,
"De Smedt, Florimond",Florimond De Smedt,Q79896787,,,,,,,1950,,faculteit Wetenschappen$$gWE$$s2008$$tunknown$$,,$$aAardwetenschappen en geografie,,,,000004006 ,$$a(biblio)802000342768,$$a(biblio)802000342768,$$aEerste vermelding Studiegids 2008-09,$$aman,,,$$apersoon,$$f19501120$$gunknown$$sunknown$$tunknown,,"$$aDe Smedt, Florimond$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2008$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Geologie en Bodemkunde$$gWE13$$0mem10:000006058,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/006/000004006-01.jpg,,,,,,,,,,,,,,
"De Smedt, Stefaan",Stefaan C De Smedt,Q39811098,,,,,,,1967,,Laboratoria faculteit Farmaceutische Wetenschap,,$$aFarmacie en Farmacologie,,,2.468148705744137E21,000004008 ,$$a(viaf)2468148705744137080008,$$a,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19670402$$gunknown$$s1999$$tunknown,,"$$aDe Smedt, Stefaan$$0ZZZ",$$aLaboratoria faculteit Farmaceutische Wetenschappen$$gFW61$$s2010$$t2014$$idiensthoofd$$0mem10:000006213,$$aLaboratoria faculteit Farmaceutische Wetenschappen$$s2010$$t2014$$idiensthoofd$$0mem10:000006213,$$avakgroep Geneesmiddelenleer$$gFW01$$0mem10:000006214,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/008/000004008-01.jpg,,,,,,,,,,,,,,
"De Smet, Herbert",Herbert De Smet,Q88400304,,,,,,,1965,,faculteit Ingenieurswetenschappen en Architectu,,"$$aEnergie, Elektrotechniek, Elektronica en Werktuigkunde",,,1.1315576737322775E20,000004010 ,$$a(viaf)113155767373227760528,$$a,$$aEerste vermelding Studiegids 2000-01,$$aman,,,$$apersoon,$$f19650725$$gunknown$$s2000$$tunknown,,"$$aDe Smet, Herbert$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2007$$tunknown$$ihoofddocent$$0mem10:000006102,,$$avakgroep Elektronica en Informatiesystemen$$gEA06$$0mem10:000006113,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/010/000004010-01.jpg,,,,,,,,,,,,,,
"de Smet, Marc",Marc D de Smet,Q59697263,,,,,,,,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aHeelkunde,,,,000004011 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$funknown$$gunknown$$sunknown$$tunknown,,,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2007$$t2010$$igastdocent$$0mem10:000006060,,$$avakgroep Oogheelkunde$$gGE18$$0mem10:000006091,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/011/000004011-01.jpg,,,,,,,,,,,,,,
"De Smet, René",René De Smet,,,,,,,,,,Universiteit Gent$$s19901001$$iemeritus,,$$aAndere Medische Disciplines,,,,000004012 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 1981-82,$$aman,,,$$apersoon,$$funknown$$gunknown$$s1980$$t19901001,,,$$aUniversiteit Gent$$s19901001$$iemeritus,$$aCentrum voor huisartsopleiding$$s1980$$t1990$$idirecteur-diensthoofd$$0mem10:000008703,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$0mem10:000006060,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/012/000004012-01.jpg,,,,,,,,,,,,,,
"De Smet, Stefaan",Stefaan De Smet,Q60141850,,,,,,,1963,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aToegepaste Biologische Wetenschappen,,,2.21487522183412E19,000004013 ,$$a(viaf)22148752218341201643,$$a,$$aEerste vermelding Studiegids 1996-97,$$aman,,,$$apersoon,$$f19631126$$gunknown$$s1996$$tunknown,,"$$aDe Smet, Stefaan$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2010$$tunknown$$ihoogleraar$$0mem10:000006188,,$$avakgroep Dierlijke Productie$$gBW13$$0mem10:000006205,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/013/000004013-01.jpg,,,,,,,,,,,,,,
"De Soete, Geert",Geert De Soete,Q55233401,,,,,,,1957,,faculteit Psychologie en Pedagogische Wetenscha,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,7475235,000004014 ,$$a(viaf)7475235,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19570305$$gunknown$$s1992$$tunknown,,"$$aDe Soete, Geert$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s2000$$tunknown$$igewoon hoogleraar$$0mem10:000006170,$$aBeheer Gemeenschappelijke Infrastructuur van de faculteit Psychologie en Pedagogische Wetenschappen$$s2007$$t2015$$idiensthoofd$$0mem10:000006176,$$avakgroep Data-Analyse$$gPP01$$0mem10:000006178,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/014/000004014-01.jpg,,,,,,,,,,,,,,
"De Somer, Filip",Filip De Somer,Q55233299,,,,,,,1960,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aHeelkunde,,,285491848,000004015 ,$$a(viaf)285491848,$$a,$$aEerste vermelding Studiegids 2009-10,$$aman,,,$$apersoon,$$f19600510$$gunknown$$sunknown$$tunknown,,"$$aDe Somer, Filip$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$igastdocent$$0mem10:000006060,,$$avakgroep Heelkunde$$gGE10$$0mem10:000006082,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/015/000004015-01.jpg,,,,,,,,,,,,,,
"De Spiegeleer, Bart",Bart De Spiegeleer,Q40320733,,,,,,,1959,,faculteit Farmaceutische Wetenschappen$$gFW$$s2,,$$aFarmacie en Farmacologie,,,,000004016 ,$$a(biblio)801000516783,$$a(biblio)801000516783,$$aEerste vermelding Studiegids 2004-05,$$aman,,,$$apersoon,$$f19591214$$gunknown$$s2004$$tunknown,,"$$aDe Spiegeleer, Bart$$0ZZZ",$$afaculteit Farmaceutische Wetenschappen$$gFW$$s2009$$tunknown$$ihoofddocent$$0mem10:000006209,,$$avakgroep Farmaceutische Analyse$$gFW02$$0mem10:000006215,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/016/000004016-01.jpg,,,,,,,,,,,,,,
"De Sutter, An",An De Sutter,Q86380695,,,,,,,1958,,faculteit Geneeskunde en Gezondheidswetenschapp,"De Sutter, Annie",$$aInwendige Ziekten,,,,000004017 ,$$a(biblio)801000955812,$$a(biblio)801000955812,$$aEerste vermelding Studiegids 2007-08,$$avrouw,,,$$apersoon,$$f19581107$$gunknown$$s2007$$tunknown,,"$$aDe Sutter, An$$d1958-$$0(viaf)$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2007$$tunknown$$idocent$$0mem10:000006060,,$$avakgroep Huisartsgeneeskunde en Eerstelijnsgezondheidszorg$$gGE21$$0mem10:000006094,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/017/000004017-01.jpg,,,,,,,,,,,,,,
"De Sutter, Johan",Johan De Sutter,Q61124584,,,,,,,1968,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aInwendige Ziekten,,,,000004019 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19680109$$gunknown$$s2002$$tunknown,,"$$aDe Sutter, Johan$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2008$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Inwendige Ziekten$$gGE01$$0mem10:000006070,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/019/000004019-01.jpg,,,,,,,,,,,,,,
"De Sutter, Petra",Petra De Sutter,Q17428148,petra.desutter.1,19427,Petra de Sutter at ILGA conference 2018 Political Town Hall 06 (cropped).jpg,Petra de Sutter,petradesutter,pdsutter,1963,,faculteit Geneeskunde en Gezondheidswetenschapp,"De Sutter, Paul",$$aMedische Basiswetenschappen,,,313577153,000004020 ,$$a(viaf)313577153,$$a,$$aEerste vermelding Studiegids 2000-01,$$avrouw$$s2004,,,$$apersoon,$$f19630610$$gunknown$$s2000$$tunknown,,,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2010$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006060,,$$avakgroep Uro-Gynaecologie$$gGE04$$0mem10:000006075,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/020/000004020-01.jpg,,,,,,,,,,,,,,
"De Sutter, Petra",Petra De Sutter,Q17428148,pdsutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Vijlder, William",William De Vijlder,Q55232324,,,,,,,1960,,faculteit Economie en Bedrijfskunde$$gEB$$s2000,,"$$aEconomie, Bedrijfseconomie en Management",,,201867606,000004030 ,$$a(viaf)201867606,$$a,$$aEerste vermelding Studiegids 1991-92,$$aman,,,$$apersoon,$$f19600204$$gunknown$$s1991$$tunknown,,"$$aDe Vijlder, William$$0ZZZ",$$afaculteit Economie en Bedrijfskunde$$gEB$$s2000$$tunknown$$ihoofddocent$$0mem10:000006129,,$$avakgroep Financiële Economie$$gEB02$$0mem10:000006137,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/030/000004030-01.jpg,,,,,,,,,,,,,,
